Host Name,OS,OS - EOL RATING,LOCATION,REGION,System Classification,Applications / Business Processes / functions ,APPLICATION,"VBP, DR, or SLA",Brand,Model,Type / Product #,Serial Number,MODEL - EOL RATING,MODEL,Location Address,Location,,APPLICATION,APPLICATION
APPBKKHQDC020,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPBOMHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPHKGHQDC020,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPJKTHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPMNLHQDC020,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPOSAKSDC010,W2012 R2,MAINSTREAM,IBM Nanko DC,API,Disaster Recovery,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPOSAKSDC020,W2012 R2,MAINSTREAM,IBM Nanko DC,API,Disaster Recovery,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPOSAKSEX011,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,#N/A,,,,,,SUNSET,BL460c G6,,,IBM??DC A? 4F,#N/A,#N/A
APPOSAKSEX021,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,IBM??DC A? 4F,#N/A,#N/A
APPPEKSHDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPPEKSHDC020,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPPEKSHEX011,W2008 R2,SUNSET,UNKNOWN,API,Disaster Recovery,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,IBM??DC A? 4F,#N/A,#N/A
APPPEKSHEX021,W2008 R2,SUNSET,UNKNOWN,API,Disaster Recovery,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,IBM??DC A? 4F,#N/A,#N/A
APPPEKSHRA010,W2008,SUNSET,UNKNOWN,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,IBM??DC A? 4F,#N/A,#N/A
APPSELDRDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Disaster Recovery,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPSELDRRA010,W2008 R2,SUNSET,UNKNOWN,API,Disaster Recovery,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,IBM??DC A? 4F,#N/A,#N/A
APPSELHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPSELHQRA010,W2008,SUNSET,UNKNOWN,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,IBM??DC A? 4F,#N/A,#N/A
APPSHASODC010,W2008,SUNSET,UNKNOWN,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,IBM??DC 7F,#N/A,#N/A
APPSHASORA010,W2008,SUNSET,UNKNOWN,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,IBM??DC A? 4F,#N/A,#N/A
APPSHEHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPSHEHQDC020,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPSHEHQDC030,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPSHEHQDC040,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPSHEHQEX011,W2008 R2,SUNSET,UNKNOWN,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,IBM??DC A? 4F,#N/A,#N/A
APPSHEHQEX012,W2008 R2,SUNSET,UNKNOWN,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,IBM??DC A? 4F,#N/A,#N/A
APPSHEHQEX021,W2008 R2,SUNSET,UNKNOWN,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,IBM??DC A? 4F,#N/A,#N/A
APPSHEHQEX022,W2008 R2,SUNSET,UNKNOWN,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,IBM??DC A? 4F,#N/A,#N/A
APPSHEHQRA010,W2008,SUNSET,UNKNOWN,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,IBM??DC 7F,#N/A,#N/A
APPSHEHQRA020,W2008,SUNSET,UNKNOWN,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,IBM??DC A? 4F,#N/A,#N/A
APPSINHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPSYDHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPTPEHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPTPEHQRA010,W2008,SUNSET,UNKNOWN,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,IBM??DC A? 4F,#N/A,#N/A
APPTYOCTDC010,W2012 R2,MAINSTREAM,IBM Makuhari DC,API,Production,,#N/A,,,,,,MAINSTREAM,BL460c G8,,,,#N/A,#N/A
APPTYOCTDC020,W2012 R2,MAINSTREAM,IBM Makuhari DC,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPTYOCTDC030,W2012 R2,MAINSTREAM,IBM Makuhari DC,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPTYOCTDC040,W2012 R2,MAINSTREAM,IBM Makuhari DC,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPTYOCTDC060,W2012 R2,MAINSTREAM,IBM Makuhari DC,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPTYOCTEX011,W2008 R2,SUNSET,JP - Makuhari DC,API,Production,,#N/A,,,,,,SUNSET,BL460c G7 ,,,,#N/A,#N/A
APPTYOCTEX012,W2008 R2,SUNSET,JP - Makuhari DC,API,Production,,#N/A,,,,,,SUNSET,BL460c G7 ,,,,#N/A,#N/A
APPTYOCTEX013,W2008 R2,SUNSET,JP - Makuhari DC,API,Production,,#N/A,,,,,,SUNSET,BL460c G7 ,,,,#N/A,#N/A
APPTYOCTEX021,W2008 R2,SUNSET,JP - Makuhari DC,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,,#N/A,#N/A
APPTYOCTEX022,W2008 R2,SUNSET,JP - Makuhari DC,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,IBM??DC A? 4F,#N/A,#N/A
APPTYOCTMN010,W2008 R2,SUNSET,JP - Makuhari DC,API,Production,,#N/A,,,,,,SUNSET,DL360 G6,,,,#N/A,#N/A
APPTYOCTMN020,W2008 R2,SUNSET,JP - Makuhari DC,API,Production,,#N/A,,,,,,MAINSTREAM,DL360p G8,,,,#N/A,#N/A
APPTYOCTRA010,W2008,SUNSET,JP - Nanko DC,API,Production,,#N/A,,,,,,MAINSTREAM,VIRTUAL,,,IBM??DC A? 4F,#N/A,#N/A
AS0010DENE,W2003,EXIT,DE - DCS,APEL,Production,Smile_PRD,Smile_PRD,SILVER,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,Virtual,"DCS, Germany Frankfurt",,Smile_PRD,Smile_PRD
AS0020DENE,W2003,EXIT,DE - DCS,APEL,Test,Smile_TST,Smile_TST,SILVER,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,NA,"DCS, Germany Frankfurt",,Smile_TST,Smile_TST
AS010ATVI11,W2003,EXIT,AT - Vienna,APEL,Non- Production,AST_RSM_ATVI,#N/A,BRONZE,UnKnown,UnKnown,Unknown,UnKnown,,,Astellas Pharma Ges mBH Linzerstrasse 221/E02 1140 Vienna,Austria / Vienna,,#N/A,#N/A
AS010ESMA11,W2003,EXIT,SP - Madrid,APEL,Non- Production,AST_RSM_ESMA,AST_RSM_ESMA,BRONZE,HP,Proliant DL360 G4,Unknown,CZJ62402H9,EXIT,DL360 G4,,Spain / Pozuelo de Alarcón,IBM??DC A? 4F,AST_RSM_ESMA,AST_RSM_ESMA
AS010FRPA11,W2003,EXIT,FR - Paris,APEL,Production,AST_RSM_FRPA,#N/A,BRONZE,HP,Proliant DL320 G4,Unknown,CZJ630040H,EXIT,DL320 G4,,"France / Levallois Perret, Cedex",,#N/A,#N/A
AS010NLME11,W2003,EXIT,NL - Meppel,EUTD,Production,AST_SERVICE_EBR_MEPPEL_PRD,AST_EBR_MEPPEL_GW_PRD,SILVER,HP,Proliant DL380 G6,491335-421,CZC93449L2,SUNSET,DL380 G6,Astellas Pharma Europe B.V. Hogemaat 2 7940 AA Meppel,Netherlands / AA Meppel,IBM??DC 7F,AST_EBR_MEPPEL_GW_PRD,AST_EBR_MEPPEL_GW_PRD
AS010PLWA11,W2003,EXIT,PL - Warsaw,APEL,Non- Production,AST_RSM_PLWA,AST_RSM_PLWA,BRONZE,HP,Proliant DL380 G3,Unknown,8310KJN21058,MAINSTREAM,DL380 G3,Support Online Sp. z o.o. Poleczki 23 02-822 Warsaw Poland,Poland / Warsaw,IBM??DC A? 4F,AST_RSM_PLWA,AST_RSM_PLWA
AS010TRIS11,W2003,EXIT,TK - Istanbul,APEL,Non- Production,AST_RSM_TRIS,AST_RSM_TRIS,BRONZE,HP,Proliant DL360 G4,379753-421,GB86111K6S,EXIT,DL360 G4,Astellas Pharma Tekstilkent Koza Place A Blok No: 16/60 34235 Esenler / Istanbul Turkey,Turkey / Enseler/ Istanbul,IBM??DC A? 4F,AST_RSM_TRIS,AST_RSM_TRIS
AS0110DENE,W2003,EXIT,DE - DCS,APEL,Production,Harbinger_PRD,Harbinger_PRD,SILVER,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,"DCS, Frankfurt","DCS, Germany Frankfurt",,Harbinger_PRD,Harbinger_PRD
AS0120DENE,W2003,EXIT,DE - DCS,APEL,Production,STARNET_PRD,"Starnet Prod App Server

(EX_HYPERION_PRD)",Bronze,IBM,x3550 M3,Physical,06plch3,SUNSET,X3550 M3,DCS Frankfurt,"DCS, Germany Frankfurt",,"Starnet Prod App Server

(EX_HYPERION_PRD)","Starnet Prod App Server

(EX_HYPERION_PRD)"
AS0130DENE,W2003,EXIT,DE - DCS,APEL,Production,STARNET_PRD,"Starnet Prod App Server

(EX_HYPERION_PRD)",Bronze,IBM,x3550 M3,Physical,06plcg3,SUNSET,X3550 M3,DCS Frankfurt,"DCS, Germany Frankfurt",,"Starnet Prod App Server

(EX_HYPERION_PRD)","Starnet Prod App Server

(EX_HYPERION_PRD)"
AS0140DENE,W2003,EXIT,DE - DCS,APEL,Production,STARNET_PRD,"Starnet Prod App Server

(EX_HYPERION_PRD)",Bronze,IBM,x3550 M3,Physical,06plcg4,SUNSET,X3550 M3,DCS Frankfurt,"DCS, Germany Frankfurt",,"Starnet Prod App Server

(EX_HYPERION_PRD)","Starnet Prod App Server

(EX_HYPERION_PRD)"
AS0160DENE,W2003,EXIT,DE - DCS,APEL,Production,STARNET_PRD,STARNET_PRD,Bronze,IBM,x3550 M3,Physical,06plcg7,SUNSET,X3550 M3,DCS Frankfurt,"DCS, Germany Frankfurt",,STARNET_PRD,STARNET_PRD
AS020ATVI11,W2003,EXIT,AT - Vienna,APEL,Non- Production,AST_RSM_ATVI,AST_RSM_ATVI,BRONZE,HP,Proliant DL380 G5,391835-B21,GB8812EKKR,EXIT,DL380 G5,Astellas Pharma Ges mBH Linzerstrasse 221/E02 1140 Vienna,Austria / Vienna,,AST_RSM_ATVI,AST_RSM_ATVI
AS020BEBR11,W2003,EXIT,BE - Brussels,APEL,Non- Production,AST_RSM_BEBR,#N/A,BRONZE,HP,Proliant DL360 G2,Unknown,8210KC241011,EXIT,DL360 G2,,Belgium / Brussels,,#N/A,#N/A
AS020DEMU11,W2003,EXIT,DE - DCS,APEL,Prod,SCRIPTING_PROD,SCRIPTING_PROD,Silver,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,DCS Frankfurt,DCS Frankfurt,,SCRIPTING_PROD,SCRIPTING_PROD
AS020ESMA11,W2003,EXIT,SP - Madrid,APEL,Non- Production,AST_RSM_ESMA,AST_RSM_ESMA,BRONZE,HP,Proliant DL380 G6,Unknown,CZC94659V1,SUNSET,DL380 G6,,Spain / Pozuelo de Alarcón,B? B1,AST_RSM_ESMA,AST_RSM_ESMA
AS020NLME11,W2003,EXIT,NL - Meppel,EUTD,QAS,AST_SERVICE_EBR_MEPPEL_CITRIX_QAS,AST_SERVICE_EBR_MEPPEL_CITRIX_QAS,SILVER,HP,Proliant DL380 G6,491335-421,CZC93449M4,SUNSET,DL380 G6,Astellas Pharma Europe B.V. Hogemaat 2 7940 AA Meppel,MEPPLE Netherland,IBM??DC 7F,AST_SERVICE_EBR_MEPPEL_CITRIX_QAS,AST_SERVICE_EBR_MEPPEL_CITRIX_QAS
AS0260DENE,W2003,EXIT,DE - DCS,APEL,Production,SUNACCOUNT_PRD,SUNACCOUNT_PRD,Bronze,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,"DCS, Frankfurt","DCS, Germany Frankfurt",,SUNACCOUNT_PRD,SUNACCOUNT_PRD
AS0270DENE,W2003,EXIT,DE - DCS,APEL,Production,MOH_PRD,MOH_PRD,SILVER,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,"DCS, Frankfurt","DCS, Germany Frankfurt",,MOH_PRD,MOH_PRD
AS030BEBR11,W2003,EXIT,BE - BRUSSELS,APEL,Non- Production,AST_RSM_BEBR,#N/A,BRONZE,HP,Proliant ML350 G4,Unknown,7J16JFX85K0K,EXIT,ML350 G4,,Belgium / Brussels,,#N/A,#N/A
AS030IEDU11,W2008 R2,SUNSET,IE - Dublin,EUTD,Production,AST_SERVICE_Z_AD-ONLY,AST_SERVICE_Z_AD-ONLY,BRONZE,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,NA,Ireland / Dublin,,AST_SERVICE_Z_AD-ONLY,AST_SERVICE_Z_AD-ONLY
AS030NLME11,W2003,EXIT,NL - Meppel,EUTD,Development,AST_SERVICE_EBR_MEPPEL_CITRIX_DEV,AST_SERVICE_EBR_MEPPEL_CITRIX_DEV,SILVER,HP,Proliant DL380 G6,491335-421,CZC92820TH,SUNSET,DL380 G6,Astellas Pharma Europe B.V. Hogemaat 2 7940 AA Meppel,MEPPLE Netherland,IBM??DC 7F,AST_SERVICE_EBR_MEPPEL_CITRIX_DEV,AST_SERVICE_EBR_MEPPEL_CITRIX_DEV
AS040IEDU11,W2008 R2,SUNSET,IE - Dublin,EUTD,Production,Kofax,KOFAX,GOLD,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,NA,Ireland / Dublin,,KOFAX,KOFAX
AS040NLME01,W2008 R2,SUNSET,NL - Meppel,EUTD,Production,VMware vCenter Virtual Machine,VMware vCenter Virtual Machine,Gold,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,"Astellas Pharma Europe B.V. Meppel, Manufacturing Meppel, Hogemaat2, 7942, JG MEPPEL, Postbus 43 , 7940 AA MEPPEL",MEPPLE Netherland,????? 2F,VMware vCenter Virtual Machine,VMware vCenter Virtual Machine
AS040NLME02,W2008 R2,SUNSET,NL - Meppel,EUTD,Production,VMware Update Manager Virtual Machine,VMware Update Manager Virtual Machine,Gold,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,"Astellas Pharma Europe B.V. Meppel, Manufacturing Meppel, Hogemaat2, 7942, JG MEPPEL, Postbus 43 , 7940 AA MEPPEL",MEPPLE Netherland,??? ?? 1F,VMware Update Manager Virtual Machine,VMware Update Manager Virtual Machine
AS040NLME03,W2008 R2,SUNSET,NL - Meppel,EUTD,Production,Backup Server Hardware Server EMC networker,06CETAZ Backup Server Hardware Server,Gold,IBM,IBM x3550 M4,7914B2G,06CETAZ,MAINSTREAM,X3550 M4,"Astellas Pharma Europe B.V. Meppel, Manufacturing Meppel, Hogemaat2, 7942, JG MEPPEL, Postbus 43 , 7940 AA MEPPEL",MEPPLE Netherland,IBM??DC A? 4F,06CETAZ Backup Server Hardware Server,06CETAZ Backup Server Hardware Server
AS040NLME11,W2003,EXIT,NL - Meppel,EUTD,Production,AST_SERVICE_EBR_MEPPEL_PRD,AST_SERVICE_EBR_MEPPEL_PRD,SILVER,HP,Proliant DL380 G6,491335-421,CZC93449VT,SUNSET,DL380 G6,Astellas Pharma Europe B.V. Hogemaat 2 7940 AA Meppel,Netherlands / AA Meppel,IBM??DC 7F,AST_SERVICE_EBR_MEPPEL_PRD,AST_SERVICE_EBR_MEPPEL_PRD
AS041NLME01,W2008 R2,SUNSET,NL - Meppel,EUTD,Production,NWA,NWA,Gold,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,"Astellas Pharma Europe B.V. Meppel, Manufacturing Meppel, Hogemaat2, 7942, JG MEPPEL, Postbus 43 , 7940 AA MEPPEL",MEPPLE Netherland,????? 1F,NWA,NWA
AS041NLME02,W2008 R2,SUNSET,NL - Meppel,EUTD,Production,PASX ,PASX ,Gold,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,"Astellas Pharma Europe B.V. Meppel, Manufacturing Meppel, Hogemaat2, 7942, JG MEPPEL, Postbus 43 , 7940 AA MEPPEL",MEPPLE Netherland,YTC? 2F,PASX ,PASX 
AS041NLME03,W2008 R2,SUNSET,NL - Meppel,EUTD,Production,PASX ,PASX ,Gold,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,"Astellas Pharma Europe B.V. Meppel, Manufacturing Meppel, Hogemaat2, 7942, JG MEPPEL, Postbus 43 , 7940 AA MEPPEL",MEPPLE Netherland,YTC? 2F,PASX ,PASX 
AS041NLME04,W2008 R2,SUNSET,NL - Meppel,EUTD,Production,PASX ,PASX ,Gold,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,"Astellas Pharma Europe B.V. Meppel, Manufacturing Meppel, Hogemaat2, 7942, JG MEPPEL, Postbus 43 , 7940 AA MEPPEL",MEPPLE Netherland,???? 9F,PASX ,PASX 
AS041NLME05,W2008 R2,SUNSET,NL - Meppel,EUTD,Production,PASX ,PASX ,Gold,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,"Astellas Pharma Europe B.V. Meppel, Manufacturing Meppel, Hogemaat2, 7942, JG MEPPEL, Postbus 43 , 7940 AA MEPPEL",MEPPLE Netherland,???? 9F,PASX ,PASX 
AS041NLME06,W2008 R2,SUNSET,NL - Meppel,EUTD,Production,PASX ,PASX ,Gold,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,"Astellas Pharma Europe B.V. Meppel, Manufacturing Meppel, Hogemaat2, 7942, JG MEPPEL, Postbus 43 , 7940 AA MEPPEL",MEPPLE Netherland,B? B1,PASX ,PASX 
AS041NLME07,W2008 R2,SUNSET,NL - Meppel,EUTD,Production,,0,Gold,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,"Astellas Pharma Europe B.V. Meppel, Manufacturing Meppel, Hogemaat2, 7942, JG MEPPEL, Postbus 43 , 7940 AA MEPPEL",MEPPLE Netherland,IBM??DC 7F,0-Jan-00,0
AS041NLME08,W2008 R2,SUNSET,NL - Meppel,EUTD,Production,,0,Gold,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,"Astellas Pharma Europe B.V. Meppel, Manufacturing Meppel, Hogemaat2, 7942, JG MEPPEL, Postbus 43 , 7940 AA MEPPEL",MEPPLE Netherland,IBM??DC 7F,0-Jan-00,0
AS041NLME09,W2008 R2,SUNSET,NL - Meppel,EUTD,QAS,PASX ,PASX ,Gold,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,"Astellas Pharma Europe B.V. Meppel, Manufacturing Meppel, Hogemaat2, 7942, JG MEPPEL, Postbus 43 , 7940 AA MEPPEL",MEPPLE Netherland,QC? 1F,PASX ,PASX 
AS041NLME10,W2008 R2,SUNSET,NL - Meppel,EUTD,QAS,PASX ,PASX ,Gold,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,"Astellas Pharma Europe B.V. Meppel, Manufacturing Meppel, Hogemaat2, 7942, JG MEPPEL, Postbus 43 , 7940 AA MEPPEL",MEPPLE Netherland,YTC? 2F,PASX ,PASX 
AS041NLME11,W2008 R2,SUNSET,NL - Meppel,EUTD,QAS,PASX ,PASX ,Gold,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,"Astellas Pharma Europe B.V. Meppel, Manufacturing Meppel, Hogemaat2, 7942, JG MEPPEL, Postbus 43 , 7940 AA MEPPEL",MEPPLE Netherland,YTC? 2F,PASX ,PASX 
AS041NLME12,W2008 R2,SUNSET,NL - Meppel,EUTD,QAS,PASX ,PASX ,Gold,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,"Astellas Pharma Europe B.V. Meppel, Manufacturing Meppel, Hogemaat2, 7942, JG MEPPEL, Postbus 43 , 7940 AA MEPPEL",MEPPLE Netherland,???? 9F,PASX ,PASX 
AS041NLME13,W2008 R2,SUNSET,NL - Meppel,EUTD,QAS,NWA,NWA,Gold,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,"Astellas Pharma Europe B.V. Meppel, Manufacturing Meppel, Hogemaat2, 7942, JG MEPPEL, Postbus 43 , 7940 AA MEPPEL",MEPPLE Netherland,????? 1F,NWA,NWA
AS041NLME14,W2008 R2,SUNSET,NL - Meppel,EUTD,Development,PASX,Empower,Gold,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,"Astellas Pharma Europe B.V. Meppel, Manufacturing Meppel, Hogemaat2, 7942, JG MEPPEL, Postbus 43 , 7940 AA MEPPEL",MEPPLE Netherland,???? 11F,Empower,Empower
AS041NLME15,W2008 R2,SUNSET,NL - Meppel,EUTD,Development,MII,Empower,Gold,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,"Astellas Pharma Europe B.V. Meppel, Manufacturing Meppel, Hogemaat2, 7942, JG MEPPEL, Postbus 43 , 7940 AA MEPPEL",MEPPLE Netherland,???? 11F,Empower,Empower
AS041NLME16,W2008 R2,SUNSET,NL - Meppel,EUTD,QAS,,New server not in use yet,Gold,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,"Astellas Pharma Europe B.V. Meppel, Manufacturing Meppel, Hogemaat2, 7942, JG MEPPEL, Postbus 43 , 7940 AA MEPPEL",MEPPLE Netherland,IBM??DC A? 4F,New server not in use yet,New server not in use yet
