Host Name,OS,OS - EOL RATING,LOCATION,REGION,System Classification,Applications / Business Processes / functions ,"VBP, DR, or SLA",Brand,Model,Type / Product #,Serial Number,MODEL - EOL RATING,MODEL,Location Address,Location,
JPPOSAKSBK260,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPPOSAKSFS100,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPPOSAKSFS110,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPPOSAKSFS140,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTAP241,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTAP242,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTBK040,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTDB381,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTDB382,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTDB401,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTDB402,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTDT040,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTVS060,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTVS070,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTVS080,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTVS090,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTVS101,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTVS102,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTVS110,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTVS130,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTVS140,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTVS150,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTVS160,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTVS170,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTVS180,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTVS190,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTVS200,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTVS210,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTVS220,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTVS230,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPQTYOCTVS310,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPPOSAKSDT040,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,BL460c G8,,,IBM__DC A_ 4F
JPPOSAKSMN100,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,BL460c G8,,,IBM__DC A_ 4F
JPPOSAKSVS131,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,BL460c G8,,,IBM__DC A_ 4F
JPPOSAKSVS132,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,BL460c G8,,,IBM__DC A_ 4F
JPPOSAKSVS141,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,BL460c G8,,,IBM__DC A_ 4F
JPPOSAKSVS142,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,BL460c G8,,,IBM__DC A_ 4F
JPPOSAKSVS151,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,BL460c G8,,,IBM__DC A_ 4F
JPPOSAKSVS152,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,BL460c G8,,,IBM__DC A_ 4F
JPPOSAKSVS153,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,BL460c G8,,,IBM__DC A_ 4F
JPPOSAKSVS154,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,BL460c G8,,,IBM__DC A_ 4F
JPPOSAKSVS155,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,BL460c G8,,,IBM__DC A_ 4F
JPPOSAKSVS156,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,BL460c G8,,,IBM__DC A_ 4F
JPPOSAKSVS161,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,BL460c G8,,,IBM__DC 7F
JPPOSAKSVS162,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,BL460c G8,,,IBM__DC 7F
JPPOSAKSDB470,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL620c G7,,,IBM__DC 7F
JPPOSAKSDB491,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL680c G7,,,IBM__DC 7F
JPQOSAKSAP010,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,DL160 G6,,,IBM__DC 7F
JPQOSADCDB030,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,MAINSTREAM,DL160 G9,,,IBM__DC 7F
JPPOSAKSMN080,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,DL320e G8,,,IBM__DC 7F
SDMZWB120,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,EXIT,DL360 G4p,,,IBM__DC 7F
JPPOSAKSRA010,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,EXIT,DL360 G4p,,,IBM__DC 7F
JPQOSAKSFS041,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,EXIT,DL360 G4p,,,IBM__DC 7F
JPQTYOCTBK010,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,EXIT,DL360 G4p,,,IBM__DC 7F
JPQOSAKSFS042,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,EXIT,DL360 G4p,,,IBM__DC 7F
JPQTYOCTFS042,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,EXIT,DL360 G4p,,,IBM__DC A_ 4F
JPQTYOCTFS041,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,EXIT,DL360 G4p,,,IBM__DC A_ 4F
SDMZWB090,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,EXIT,DL360 G5,,,IBM__DC A_ 4F
JPPOSAKSMN040,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,DL360 G6,,,IBM__DC A_ 4F
JPPOSAKSBK270,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,DL360 G7,,,IBM__DC A_ 4F
JPPOSAKSEX091,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,DL360p G8,,,IBM__DC A_ 4F
JPPOSAKSDT010,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,DL360p G8,,,IBM__DC A_ 4F
JPPOSAKSBK230,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,DL370 G6,,,IBM__DC A_ 4F
JPPOSAKSBK240,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,DL370 G6,,,IBM__DC A_ 4F
JPQTYOCTBK021,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,DL370 G6,,,IBM__DC A_ 4F
JPQOSAKSBK021,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,DL370 G6,,,IBM__DC A_ 4F
FCNTRVS560,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,SUNSET,DL380 G6,,,IBM__DC A_ 4F
JPQOSADCVS010,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,MAINSTREAM,DL380 G9,,,IBM__DC A_ 4F
JPQOSADCVS020,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,MAINSTREAM,DL380 G9,,,IBM__DC A_ 4F
JPPOSAKSDB201,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,DL380p G8,,,IBM__DC A_ 4F
JPPOSAKSDB180,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,DL380p G8,,,IBM__DC A_ 4F
JPPOSAKSMN070,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,DL380p G8,,,IBM__DC A_ 4F
JPPOSAKSMN060,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,DL380p G8,,,IBM__DC A_ 4F
