Host Name,OS,LOCATION,REGION,Environment,APPLICATION,MODEL
EUPNSUDCDB110,W2008 R2,DE - DCS,APEL,Production,APA_IMAP_PRD,VIRTUAL
EUPNSUDCDB160,SUSE 11,DE - DCS,APEL,Production,TRANSPARENCY_PRD,DL380 G7
EUPNSUDCDB170,W2008,DE - DCS,APEL,Production,HYPERION_PRD,VIRTUAL
EUPNSUDCDB180,W2008 R2,DE - DCS,APEL,Prod,OPENTEXT,DL360 G7
EUPNSUDCMN190,W2008 R2,DE - DCS,APEL,Production,WSUS_PRD,VIRTUAL
EUPNSUDCRA010,W2008,DE - DCS,APEL,Production,RADIUS,VIRTUAL
EUPNSUDCWB020,W2008 R2,DE - DCS,APEL,Production,ANTI-INFECTIVES_BRAND_WEBSITE,VIRTUAL
EUPNSUDCWB030,W2008 R2,DE - DCS,APEL,Production,PRICING_PRD,VIRTUAL
EUPPARHQDC010,W2008,FR - Paris,APEL,Production,Domain Controller,VIRTUAL
EUPPARHQFS010,W2008 R2,FR - Paris,APEL,Production,DFS /DHCP,DL380 G7
EUPPARHQVS010,W2008 R2,FR - Paris,APEL,Production,AST_SYSTEM_HYPERV_RSM_PRD,DL380 G6
EUPPRGHQDT010,W2008 R2,CZ - PRAGUE,APEL,Production,DFS /DHCP,DL380 G6
EUPSOFHQDT010,W2008 R2,BG - Sofia,APEL,Production,"EMC,DFS",DL320 G6
EUPTYOCTDC010,W2012 R2,IBM Makuhari DC,API,Production,Domain Controller,VIRTUAL
EUPTYOCTDC010,W2008,JP - Tokyo,,Production,Domain Controller,VIRTUAL
EUPVIEHQDT010,W2008 R2,AT - Vienna,APEL,Production,DFS /DHCP,DL380 G6
EUPVIEHQPR010,W2008 R2,AT - Vienna,APEL,Production,AST_AFFILIATE_PRINT_PRD,DL380 G7
EUPWAWHQDC010,W2008,PL - Warsaw,APEL,Production,Domain Controller,VIRTUAL
EUPWAWHQDT010,W2008,PL - Warsaw,APEL,Production,AST_SCCM_PRD,VIRTUAL
EUPWAWHQFS010,W2008 R2,PL - Warsaw,APEL,Production,DFS /DHCP,DL380 G7
EUPWAWHQVS010,W2008 R2,PL - Warsaw,APEL,Production,AST_SYSTEM_HYPERV_RSM_PRD,DL380 G6
EUPZRHHQDT010,W2008 R2,CH - Wallisellen,APEL,Production,DFS /DHCP,DL380 G6
EUQFRADOTM010,W2008 R2,DE - DCO,APEL,Prod,ZDC/XML,VIRTUAL
EUQFRADOTM020,W2008 R2,DE - DCO,APEL,Prod,Web Interface,VIRTUAL
EUQFRADSAP050,W2012 R2,DE - DCS,APEL,QAS,HPRM,VIRTUAL
EUQFRADSAP060,W2012 R2,DE - DCS,APEL,QAS,HPRM,VIRTUAL
EUQFRADSAP070,W2012 R2,DE - DCS,APEL,QAS,HPRM,VIRTUAL
EUQFRADSAP080,W2012 R2,DE - DCS,APEL,QAS,HPRM,X3550 M4
EUQFRADSDB030,W2012 R2,DE - DCS,APEL,QAS,HPRM,VIRTUAL
EUQFRADSMN010,RHEL 6.5,DE - DCS,APEL,Sandbox,TWS Sandbox Master Domain Manager,VIRTUAL
EUQFRADSMN020,RHEL 6.5,DE - DCS,APEL,Sandbox,TWS Sandbox Domain Backup,VIRTUAL
EUQFRADSTM010,W2008 R2,DE - DCS,APEL,Production,PMX,VIRTUAL
EUQFRADSTM020,W2008 R2,DE - DCS,APEL,VALidation,SAS ,VIRTUAL
EUQFRASAPBWQ,SOLARIS 10,DE - DCO,APEL,GXP,SAP QA,VIRTUAL
EUQFRASAPEPQ,SOLARIS 10,DE - DCO,APEL,GXP,SAPQA,VIRTUAL
EUQFRASAPQAS,SOLARIS 10,DE - DCO,APEL,GXP,SAP QA,VIRTUAL
EUQFRASAPQEH,SOLARIS 10,DE - DCO,APEL,GXP,SAP QA,VIRTUAL
EUQFRASAPSCQ,SOLARIS 10,DE - DCO,APEL,GXP,SAP QA,VIRTUAL
EUQFRASAPSMQ,SOLARIS 10,DE - DCO,APEL,GXP,SAP QA,VIRTUAL
EUQFRASAPSRQ,SOLARIS 10,DE - DCO,APEL,GXP,SAP QA,VIRTUAL
EUQFRASAPXIQ,SOLARIS 10,DE - DCO,APEL,GXP,SAP QA,VIRTUAL
EUQMPPPLAP010,W2008 R2,NL - Meppel,EUTD,QAS,GS Jboss 1 Application Server,VIRTUAL
EUQMPPPLAP020,W2008 R2,NL - Meppel,EUTD,QAS,GS Jboss 2 Application Server,VIRTUAL
EUQMPPPLAP030,W2008 R2,NL - Meppel,EUTD,QAS,GS Background Application Server,VIRTUAL
EUQMPPPLAP040,W2008 R2,NL - Meppel,EUTD,QAS,GS Citrix XenApp Server,VIRTUAL
EUQMPPPLAP060,W2008 R2,NL - Meppel,EUTD,QAS,LIMS Application,VIRTUAL
EUQMPPPLAP100,W2008 R2,NL - Meppel,EUTD,QAS,Empower3,VIRTUAL
EUQMPPPLDB010,W2008 R2,NL - Meppel,EUTD,QAS,GS Oracle Database Server,VIRTUAL
EUQMPPPLDB020,W2008 R2,NL - Meppel,EUTD,QAS,LIMS Oracle Application,VIRTUAL
EUQMPPPLDB100,W2008 R2,NL - Meppel,EUTD,QAS,,VIRTUAL
EUQMPPPLTM100,W2008 R2,NL - Meppel,EUTD,QAS,,VIRTUAL
EUQNSUDCAP000,W2008 R2,DE - DCS,APEL,Validation,,VIRTUAL
EUQNSUDCAP010,W2008 R2,DE - DCS,APEL,QA,,VIRTUAL
EUQNSUDCAP020,W2008 R2,DE - DCS,APEL,Validation,,VIRTUAL
EUQNSUDCAP030,W2008 R2,DE - DCS,APEL,Validation,,VIRTUAL
EUQNSUDCAP110,W2008 R2,DE - DCS,APEL,Validation,,VIRTUAL
EUQNSUDCAP120,SUSE 11,DE - DCS,APEL,Validation,,VIRTUAL
EUQNSUDCAP130,W2008 R2,DE - DCS,APEL,QAS,,VIRTUAL
EUQNSUDCAP140,W2008 R2,DE - DCS,APEL,Validation,,VIRTUAL
EUQNSUDCAP150,SUSE 10,DE - DCS,APEL,Non-Prod,,VIRTUAL
EUQNSUDCAP180,W2008 R2,DE - DCS,APEL,Validation,,VIRTUAL
EUQNSUDCAP190,W2008 R2,DE - DCS,APEL,Test,,VIRTUAL
EUQNSUDCAP200,W2008 R2,DE - DCS,APEL,Test,,VIRTUAL
EUQNSUDCAP210,W2008 R2,DE - DCS,APEL,Test,,VIRTUAL
EUQNSUDCAP220,W2008 R2,DE - DCS,APEL,Test,,VIRTUAL
EUQNSUDCAP230,W2008 R2,DE - DCS,APEL,Test,,VIRTUAL
EUQNSUDCAP240,W2008 R2,DE - DCS,APEL,Test,,VIRTUAL
EUQNSUDCAP250,W2008 R2,DE - DCS,APEL,Test,,VIRTUAL
EUQNSUDCAP260,W2008 R2,DE - DCS,APEL,Test,,DL380P G8
EUQNSUDCAP270,W2008 R2,DE - DCS,APEL,Test,,VIRTUAL
EUQNSUDCAP280,W2008 R2,DE - DCS,APEL,Validation,,VIRTUAL
EUQNSUDCAP290,W2008 R2,DE - DCS,APEL,Validation,,VIRTUAL
EUQNSUDCDB000,W2008 R2,DE - DCS,APEL,Validation,,VIRTUAL
EUQNSUDCDB020,W2008 R2,DE - DCS,APEL,Validation,,VIRTUAL
EUQNSUDCDB030,W2008 R2,DE - DCS,APEL,Validation,,VIRTUAL
EUQNSUDCDB040,W2008 R2,DE - DCS,APEL,QAS,,VIRTUAL
EUQNSUDCDB050,W2008 R2,DE - DCS,APEL,Validation,,VIRTUAL
EUQNSUDCDB060,W2008 R2,DE - DCS,APEL,Test,,VIRTUAL
EUQNSUDCDB070,W2008 R2,DE - DCS,APEL,Test,,VIRTUAL
FCNTRAD010,W2008,JP - Nanko DC,API,Pre-Production,,VIRTUAL
FCNTRAD020,W2008,JP - Nanko DC,API,Pre-Production,,VIRTUAL
FCNTRAP100,W2003,JP - Tokyo,API,Development,,VIRTUAL
FCNTRVS560,W2008 R2,JP - Nanko DC,API,Pre-Production,,DL380 G6
FD-DC1,W2003,US - RTP,AUS,Production,,DL360 G3
FD-DC2,W2003,US - RTP,AUS,Production,,DL360 G5
FD-WELNA-PRD,W2008 R2,US - RTP,AUS,Production,,VIRTUAL
FD-WPLP01,W2008 R2,US - RTP,AUS,Production,,DL360 G7
fhiftp,RHEL 6.5,US - BLD,AUS,,,VIRTUAL
FP010BEBR11,W2003,BE - Brussels,APEL,Non- Production,,DL380 G3
FP010DKGL11,W2003,DK - Kastrup,APEL,Non- Production,,DL380 G4
FPIU1050,RHEL 6.3,IBM Nanko DC,API,Pre-Production,,DL380p G8
FS010IEKI11,W2012,IE - Kerry,EUTD,Production,,VIRTUAL
FS010PLWA11,W2003,PL - Warsaw,APEL,Non- Production,,DL380 G4
FS040IEDU11,W2012,IE - Dublin,EUTD,Production,,VIRTUAL
FS040IEKI11,W2008 R2,IE - Kerry,EUTD,Production,,VIRTUAL
FS041NLME01,W2008 R2,NL - Meppel,EUTD,Production,,VIRTUAL
FS041NLME02,W2008 R2,NL - Meppel,EUTD,Production,,VIRTUAL
FS041NLME03,W2008 R2,NL - Meppel,EUTD,Test,,VIRTUAL
FS041NLME04,W2008 R2,NL - Meppel,EUTD,Test,,VIRTUAL
FS041NLME05,W2008 R2,NL - Meppel,EUTD,Test,,VIRTUAL
FS050NLLE11,W2003,NL - Leiden,APEL,Non- Production,,VIRTUAL
FS5010DEFR,W2008 R2,DE - DCS,APEL,Production,,X3550 M4
FVAPICNTRAP080,W2003 R2,IBM Nanko DC,API,Pre-Production,,VIRTUAL
FVAPICNTRMN020,W2008 R2,JP - Nanko DC,API,Pre-Production,,VIRTUAL
FVCNTRAP390,W2008,JP - Nanko DC,API,Pre-Production,,VIRTUAL
FVCNTRAP430,W2008,UNKNOWN,API,Development,,VIRTUAL
FVCNTRAP440,W2008,UNKNOWN,API,Development,,VIRTUAL
FVCNTRAP450,W2008,UNKNOWN,API,Development,,VIRTUAL
FVCNTRAP480,W2008,JP - Nanko DC,API,Pre-Production,,VIRTUAL
FVCNTRAP490,W2008,JP - Nanko DC,API,Pre-Production,,VIRTUAL
FVCNTRAP500,W2008,JP - Nanko DC,API,Pre-Production,,VIRTUAL
FVCNTRAP510,W2008,JP - Nanko DC,API,Pre-Production,,VIRTUAL
FVCNTRAP680,W2003,JP - Tokyo,API,Development,,VIRTUAL
FVCNTRAP690,W2008,JP - Nanko DC,API,Pre-Production,,VIRTUAL
FVCNTRDB390,W2008,JP - Nanko DC,API,Pre-Production,,VIRTUAL
FVCNTRMN090,W2008 R2,JP - Nanko DC,API,Pre-Production,,VIRTUAL
GLDRDUDCWB010,W2008 R2,US - RTP,AUS,DEV,,VIRTUAL
GLDTYOCTDB010,W2008 R2,JP - Makuhari DC,API,Pre-Production,,VIRTUAL
GLDTYOCTTM010,W2008 R2,JP - Makuhari DC,API,Pre-Production,,VIRTUAL
GLPAMSLDDC010,W2008,UNKNOWN,API,Production,,VIRTUAL
GLPBKKHQDC020,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
GLPBOMHQDC010,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
GLPCHIHQDC010,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
GLPCHIHQDC030,W2008,UNKNOWN,API,Production,,VIRTUAL
GLPCHIRCDC010,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
GLPCPHHQDC010,W2008,UNKNOWN,API,Production,,VIRTUAL
GLPDFWDCAP010,W2003,US - RTP,AUS,DEV,,VIRTUAL
GLPDFWDCAP020,W2003,US - RTP,AUS,DEV,,VIRTUAL
GLPDFWDCDB020,W2008,UNKNOWN,API,Production,,VIRTUAL
GLPDFWDCDB020,W2008,US - BLD,AUS,Production,,VIRTUAL
GLPDFWDCDB030,W2003,US - RTP,AUS,DEV,,VIRTUAL
GLPDFWDCDB040,W2008 R2,US - RTP,AUS,DEV,,VIRTUAL
GLPDFWDCWB010,W2003,US - BLD,AUS,Production,,VIRTUAL
GLPDFWDCWB020,W2003,US - RTP,AUS,DEV,,VIRTUAL
GLPDLCACDC010,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
GLPDUBPLDC010,W2008,UNKNOWN,API,Production,,VIRTUAL
GLPFRADOAP010,W2008 R2,DE - DCO,APEL,Production,,X3650 M4
GLPFRADOAP020,W2008 R2,DE - DCO,APEL,Production,,X3650 M4
GLPFRADOAP030,W2008 R2,DE - DCO,APEL,Production,,VIRTUAL
GLPFRADOAP040,W2008 R2,DE - DCO,APEL,Production,,VIRTUAL
GLPFRADODC010,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
GLPFRADODC020,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
GLPFRADOWB010,W2008 R2,DE - DCO,APEL,Production,,VIRTUAL
GLPFRADSDC010,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
GLPFRADSTM010,W2003,DE - DCS,APEL,Validation,,VIRTUAL
GLPFRADSTM020,W2003,DE - DCS,APEL,Production,,VIRTUAL
GLPHKGHQDC020,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
GLPJKTHQDC010,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
GLPKILPLDC010,W2008,UNKNOWN,API,Production,,VIRTUAL
GLPLONHQDC010,W2008,UNKNOWN,API,Production,,VIRTUAL
GLPMADHQDC010,W2008,UNKNOWN,API,Production,,VIRTUAL
GLPMILHQDC010,W2008,UNKNOWN,API,Production,,VIRTUAL
GLPMNLHQDC010,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
GLPMNZDCDB010,W2003,US - RTP,AUS,DEV,,DL380 G6
GLPMOWHQDC010,W2008,UNKNOWN,API,Production,,VIRTUAL
GLPMPPPLDC010,W2008,UNKNOWN,API,Production,,VIRTUAL
GLPMUCHQDC010,W2008,UNKNOWN,API,Production,,VIRTUAL
GLPMUCHQRDB020,W2008 R2,DE - DCS,APEL,Development,,VIRTUAL
GLPNSUDCDC010,W2008,UNKNOWN,API,Production,,VIRTUAL
GLPNSUDCDC020,W2008,UNKNOWN,API,Production,,VIRTUAL
GLPOKCPLDC010,W2008,UNKNOWN,API,Production,,VIRTUAL
GLPOSADCMN010,W2012 R2,IBM Nanko DC,API,Disaster Recovery,,VIRTUAL
GLPOSADCMN020,W2012 R2,IBM Nanko DC,API,Disaster Recovery,,VIRTUAL
GLPOSADCMN030,W2012 R2,IBM Nanko DC,API,Disaster Recovery,,VIRTUAL
GLPOSADCMN040,W2012 R2,IBM Nanko DC,API,Disaster Recovery,,DL360 G9
GLPOSAKSCA010,W2008 R2,JP - Nanko DC,API,Disaster Recovery,,VIRTUAL
